,gene_ids,feature_types,genome,mt,chromosome,start,end,cnv_called,highly_variable,means,dispersions,dispersions_norm
MALAT1,ENSG00000251562.8_3,Gene Expression,GRCh37_liftover_v28,False,chr11,65497688.0,65506516.0,True,False,6.1390534450428165,5.327327142374902,1.0
JCHAIN,ENSG00000132465.10_3,Gene Expression,GRCh37_liftover_v28,False,chr4,70655541.0,70681817.0,True,False,5.4417037679263975,7.271197399181246,1.0
B2M,ENSG00000166710.17_2,Gene Expression,GRCh37_liftover_v28,False,chr15,44711358.0,44718851.0,True,False,5.179212440952484,3.6196295528995313,-0.79783946
TMSB4X,ENSG00000205542.10_2,Gene Expression,GRCh37_liftover_v28,False,chrX,12975110.0,12977227.0,False,False,5.172277595222013,4.481095553969781,1.121823
MT-CO1,ENSG00000198804.2,Gene Expression,GRCh37_liftover_v28,True,chrM,5904.0,7445.0,False,False,4.970724798997786,3.832276710690249,-0.32398355
FTL,ENSG00000087086.14_3,Gene Expression,GRCh37_liftover_v28,False,chr19,48965309.0,48966879.0,True,False,4.75501033996577,6.0555261744682705,1.3126806
MT-CO2,ENSG00000198712.1,Gene Expression,GRCh37_liftover_v28,True,chrM,7586.0,8269.0,False,False,4.7327870706665,4.02214512118123,-0.84756696
MT-RNR2,ENSG00000210082.2,Gene Expression,GRCh37_liftover_v28,True,chrM,1671.0,3229.0,False,False,4.710569624381697,5.047687655820049,0.24196112
MT-CO3,ENSG00000198938.2,Gene Expression,GRCh37_liftover_v28,True,chrM,9207.0,9990.0,False,False,4.702418760182681,4.154386530237972,-0.70707476
MT-ATP6,ENSG00000198899.2,Gene Expression,GRCh37_liftover_v28,True,chrM,8527.0,9207.0,False,False,4.565664282450813,4.316018331922655,0.99066925
RPLP1,ENSG00000137818.11_2,Gene Expression,GRCh37_liftover_v28,False,chr15,69452814.0,69456205.0,True,False,4.487233352050949,3.230382506291902,-0.6818802
MT-ND3,ENSG00000198840.2,Gene Expression,GRCh37_liftover_v28,True,chrM,10059.0,10404.0,False,False,4.4302688934277255,4.354608855664709,1.0501225
MT-ND4,ENSG00000198886.2,Gene Expression,GRCh37_liftover_v28,True,chrM,10760.0,12137.0,False,False,4.420423424773335,3.5653182885584527,-0.16587226
RPL41,ENSG00000229117.8_2,Gene Expression,GRCh37_liftover_v28,False,chr12,56116590.0,56117967.0,True,False,4.374700060864797,2.8985939518468755,-1.1930394
RPL10,ENSG00000147403.16_3,Gene Expression,GRCh37_liftover_v28,False,chrX,154389955.0,154409168.0,False,False,4.258991634977668,3.180584038633201,-0.55837625
RPS27,ENSG00000177954.12_3,Gene Expression,GRCh37_liftover_v28,False,chr1,153990762.0,153992155.0,True,False,4.23370937129205,3.433044901403557,-0.26547396
ACTB,ENSG00000075624.14_4,Gene Expression,GRCh37_liftover_v28,False,chr7,5526409.0,5563902.0,True,False,4.203273299054105,3.8800573791586905,0.25314498
FTH1,ENSG00000167996.15_3,Gene Expression,GRCh37_liftover_v28,False,chr11,61959718.0,61967634.0,True,False,4.137706192483927,5.4669476221285525,2.0942376
MT-CYB,ENSG00000198727.2,Gene Expression,GRCh37_liftover_v28,True,chrM,14747.0,15887.0,False,False,4.132023304080842,3.6416582219324622,-0.023443086
EEF1A1,ENSG00000156508.17_3,Gene Expression,GRCh37_liftover_v28,False,chr6,73489308.0,73525587.0,True,False,4.121986419263686,3.1404976636308537,-0.604884
RPL13,ENSG00000167526.13_2,Gene Expression,GRCh37_liftover_v28,False,chr16,89560677.0,89564542.0,True,False,4.043691434400772,2.890261584270435,-0.89520514
RPS19,ENSG00000105372.7_4,Gene Expression,GRCh37_liftover_v28,False,chr19,41860255.0,41872925.0,True,False,3.9852890688987967,2.9840614967010906,0.07389677
TPT1,ENSG00000133112.16_2,Gene Expression,GRCh37_liftover_v28,False,chr13,45333471.0,45341284.0,True,False,3.9060998551446984,2.893982806522379,-0.11963624
RPS18,ENSG00000231500.6_2,Gene Expression,GRCh37_liftover_v28,False,chr6,33272075.0,33276511.0,True,False,3.905469637250046,2.932011051765886,-0.037933
